<<<<<<< HEAD
Ticker,close,date,high,low,open,volume,daily_return,cumulative_return,yearly_return,volatility,monthly_return,Matched_Processed_Symbol,COMPANY,sector,year
SBIN,602.95,2023-10-03 05:30:00,604.9,589.6,596.6,15322196,0.0,0.0,7.618169627891373,0.0179393448217401,-5.204492122024818,sbin,SBI,BANKING,2023
BAJFINANCE,7967.6,2023-10-03 05:30:00,7975.5,7755.0,7780.8,944555,0.0,0.0,-5.822666049763522,0.0159184948977344,-3.703346699568175,bajfinance,BAJAJ FINANCE,FINANCE,2023
TITAN,3196.25,2023-10-03 05:30:00,3212.5,3114.4,3148.8,1007308,0.0,0.0,16.72541920731706,0.0141358930386301,1.2973196138211354,titan,TITAN,RETAILING,2023
ITC,439.75,2023-10-03 05:30:00,442.9,439.25,441.0,7481883,0.0,0.0,4.784580498866219,0.0119437024583196,-2.857142857142862,itc,ITC,FOOD & TOBACCO,2023
TCS,3513.85,2023-10-03 05:30:00,3534.2,3480.1,3534.2,1948148,0.0,0.0,7.334050138645246,0.013161771587106,-4.68139890215607,tcs,TCS,SOFTWARE,2023
LT,3073.25,2023-10-03 05:30:00,3077.45,2995.1,3040.5,3254492,0.0,0.0,15.967768459135009,0.0169639041500464,-3.665515540207197,lt,L&T,ENGINEERING,2023
TATACONSUM,861.2,2023-10-03 05:30:00,868.75,853.49,859.32,1168848,0.0,0.0,24.919703951962013,0.0148047736681353,3.5050970534841506,tataconsumer,TATA CONSUMER,FMCG,2023
RELIANCE,1159.08,2023-10-03 05:30:00,1167.8,1158.0,1164.97,8859056,0.0,0.0,10.944487840888604,0.0135620671300733,-1.8043383091410063,reliance,RELIANCE IND.,ENERGY,2023
HCLTECH,1238.7,2023-10-03 05:30:00,1256.7,1222.7,1232.5,2162636,0.0,0.0,18.953346855983767,0.0142946506811317,3.5294117647058822,hcltech,HCL TECHNOLOGIES,SOFTWARE,2023
JSWSTEEL,770.25,2023-10-03 05:30:00,776.55,768.0,776.55,1099773,0.0,0.0,13.353937286716896,0.0163839323567222,-5.176743287618304,jswsteel,JSW STEEL,STEEL,2023
ULTRACEMCO,8304.9,2023-10-03 05:30:00,8377.0,8221.2,8289.0,454402,0.0,0.0,26.710097719869708,0.0143145967068882,1.607552177584751,ultracemco,ULTRATECH CEMENT,CEMENT,2023
POWERGRID,199.55,2023-10-03 05:30:00,200.0,196.9,198.75,10830728,0.0,0.0,19.34591194968553,0.0186714422966643,1.710691823899374,powergrid,POWER GRID,POWER,2023
INFY,1434.0,2023-10-03 05:30:00,1437.0,1420.3,1436.05,4181867,0.0,0.0,7.440548727412008,0.0144919130538682,-4.710838759096123,infy,INFOSYS,SOFTWARE,2023
TRENT,2059.1,2023-10-03 05:30:00,2086.3,2052.0,2074.3,543387,0.0,0.0,47.27618955792313,0.0230737989326521,3.876006363592519,trent,TRENT,RETAILING,2023
BHARTIARTL,925.3,2023-10-03 05:30:00,928.25,916.05,918.25,4338272,0.0,0.0,12.409474543969512,0.0136245077288292,-0.4192757963517585,airtel,BHARTI AIRTEL,TELECOM,2023
TATAMOTORS,620.45,2023-10-03 05:30:00,632.65,618.6,632.6,6894577,0.0,0.0,23.292760037938667,0.0178765051564171,-0.6244072083465136,tatamotors,TATA MOTORS,AUTOMOBILES,2023
WIPRO,405.45,2023-10-03 05:30:00,408.1,403.6,406.45,2864052,0.0,0.0,15.955222044531927,0.0174678862819052,-6.06470660597859,wipro,WIPRO,SOFTWARE,2023
TECHM,1216.2,2023-10-03 05:30:00,1230.7,1212.55,1220.6,1622290,0.0,0.0,4.264296247747025,0.0160198688749189,-7.16450925774208,techm,TECH MAHINDRA,SOFTWARE,2023
NTPC,241.2,2023-10-03 05:30:00,246.7,240.55,244.35,14885044,0.0,0.0,27.3378350726417,0.0194750117012966,-3.499079189686918,ntpc,NTPC,POWER,2023
HINDUNILVR,2468.9,2023-10-03 05:30:00,2499.0,2461.8,2490.0,1585626,0.0,0.0,6.985943775100395,0.0120738957960637,-0.2409638554216867,hindunilvr,HINDUSTAN UNILEVER,FMCG,2023
