Ticker,month,open,close,monthly_return,month_str
ADANIENT,2023-10,2418.0,2294.65,-5.101323407775017,October 2023
ADANIENT,2023-11,2299.0,2358.55,2.5902566333188424,November 2023
ADANIENT,2023-12,2370.0,2848.95,20.208860759493664,December 2023
ADANIENT,2024-01,2852.3,3142.0,10.156715632997924,January 2024
ADANIENT,2024-02,3156.9,3285.4,4.070448858056955,February 2024
ADANIENT,2024-03,3309.85,3197.1,-3.406498783932807,March 2024
ADANIENT,2024-04,3230.2,3054.7,-5.433100117639775,April 2024
ADANIENT,2024-05,3071.95,3411.35,11.048356906850701,May 2024
ADANIENT,2024-06,3725.0,3177.15,-14.707382550335568,June 2024
ADANIENT,2024-07,3179.95,3169.4,-0.3317662227393427,July 2024
ADANIENT,2024-08,3180.0,3019.35,-5.051886792452833,August 2024
ADANIENT,2024-09,3021.1,3135.85,3.798285392737745,September 2024
ADANIENT,2024-10,3136.3,2947.25,-6.027803462678959,October 2024
ADANIENT,2024-11,2960.0,2228.0,-24.72972972972973,November 2024
ADANIPORTS,2023-10,826.0,784.75,-4.993946731234867,October 2023
ADANIPORTS,2023-11,784.75,825.5,5.1927365402994585,November 2023
ADANIPORTS,2023-12,839.2,1024.35,22.062678741658708,December 2023
ADANIPORTS,2024-01,1026.55,1207.65,17.641615118601152,January 2024
ADANIPORTS,2024-02,1213.6,1320.5,8.808503625576805,February 2024
ADANIPORTS,2024-03,1335.0,1341.85,0.5131086142322029,March 2024
ADANIPORTS,2024-04,1356.8,1324.9,-2.351120283018858,April 2024
ADANIPORTS,2024-05,1333.95,1437.4,7.755163237002889,May 2024
ADANIPORTS,2024-06,1549.0,1478.1,-4.5771465461588186,June 2024
ADANIPORTS,2024-07,1483.0,1569.9,5.859743762643297,July 2024
ADANIPORTS,2024-08,1580.95,1481.9,-6.2652202789462,August 2024
ADANIPORTS,2024-09,1490.0,1448.2,-2.8053691275167756,September 2024
ADANIPORTS,2024-10,1448.2,1375.95,-4.98895180223726,October 2024
ADANIPORTS,2024-11,1386.5,1136.75,-18.012982329606924,November 2024
APOLLOHOSP,2023-10,5138.95,4819.9,-6.208466710125613,October 2023
APOLLOHOSP,2023-11,4835.0,5528.95,14.352637021716646,November 2023
APOLLOHOSP,2023-12,5550.0,5704.1,2.776576576576583,December 2023
APOLLOHOSP,2024-01,5741.0,6352.95,10.659292806131333,January 2024
APOLLOHOSP,2024-02,6289.65,6101.6,-2.989832502603472,February 2024
APOLLOHOSP,2024-03,6102.0,6356.8,4.175680104883648,March 2024
APOLLOHOSP,2024-04,6401.0,5947.1,-7.091079518825177,April 2024
APOLLOHOSP,2024-05,5947.1,5839.2,-1.8143296732861487,May 2024
APOLLOHOSP,2024-06,5986.3,6185.7,3.330938977331568,June 2024
APOLLOHOSP,2024-07,6180.0,6615.3,7.043689320388352,July 2024
APOLLOHOSP,2024-08,6615.3,6927.5,4.71936268952277,August 2024
APOLLOHOSP,2024-09,6989.0,7199.15,3.0068679353269374,September 2024
APOLLOHOSP,2024-10,7201.5,7022.7,-2.482816079983339,October 2024
APOLLOHOSP,2024-11,7022.7,6935.1,-1.2473834849844,November 2024
ASIANPAINT,2023-10,3166.1,2995.7,-5.3820157291304795,October 2023
ASIANPAINT,2023-11,2997.95,3119.9,4.067779649427118,November 2023
ASIANPAINT,2023-12,3146.95,3402.4,8.117383498307895,December 2023
ASIANPAINT,2024-01,3403.0,2957.85,-13.081104907434618,January 2024
ASIANPAINT,2024-02,2961.0,2821.9,-4.697737250928737,February 2024
ASIANPAINT,2024-03,2832.9,2846.75,0.4888983020932581,March 2024
ASIANPAINT,2024-04,2860.95,2875.9,0.5225536971984925,April 2024
ASIANPAINT,2024-05,2875.1,2881.2,0.21216653333796773,May 2024
ASIANPAINT,2024-06,2950.0,2917.05,-1.1169491525423667,June 2024
ASIANPAINT,2024-07,2889.3,3084.45,6.754231128647064,July 2024
ASIANPAINT,2024-08,3088.0,3126.8,1.2564766839378299,August 2024
ASIANPAINT,2024-09,3148.0,3329.1,5.752858958068612,September 2024
ASIANPAINT,2024-10,3317.0,2935.65,-11.496834488996079,October 2024
ASIANPAINT,2024-11,2958.0,2472.2,-16.423258958755923,November 2024
AXISBANK,2023-10,1035.0,981.85,-5.13526570048309,October 2023
AXISBANK,2023-11,977.85,1074.25,9.85836273457074,November 2023
AXISBANK,2023-12,1075.4,1102.3,2.5013948298307476,December 2023
AXISBANK,2024-01,1095.0,1067.75,-2.4885844748858448,January 2024
AXISBANK,2024-02,1072.65,1075.1,0.22840628350345574,February 2024
AXISBANK,2024-03,1076.0,1047.2,-2.6765799256505534,March 2024
AXISBANK,2024-04,1052.35,1165.9,10.790136361476712,April 2024
AXISBANK,2024-05,1156.0,1162.15,0.5320069204152328,May 2024
AXISBANK,2024-06,1197.05,1265.25,5.6973392924272215,June 2024
AXISBANK,2024-07,1273.0,1166.1,-8.397486252945804,July 2024
AXISBANK,2024-08,1168.0,1175.25,0.6207191780821918,August 2024
AXISBANK,2024-09,1176.0,1232.2,4.778911564625854,September 2024
AXISBANK,2024-10,1228.1,1159.55,-5.581793013598238,October 2024
AXISBANK,2024-11,1164.05,1142.4,-1.8598857437395186,November 2024
BAJAJ-AUTO,2023-10,5065.0,5314.05,4.917077986179668,October 2023
