Ticker,close,date,high,low,open,volume,year,yearly_return,monthly_return,daily_return,cumulative_return,volatility,COMPANY,sector
SBIN,602.95,2023-10-03 05:30:00,604.9,589.6,596.6,15322196,2023,36.78343949044584,-0.06202836056057731,0.0,0.0,0.017939344821740196,SBI,BANKING
BAJFINANCE,7967.6,2023-10-03 05:30:00,7975.5,7755.0,7780.8,944555,2023,-14.096879498252113,-0.05961017119333309,0.0,0.0,0.01591849489773447,BAJAJ FINANCE,FINANCE
TITAN,3196.25,2023-10-03 05:30:00,3212.5,3114.4,3148.8,1007308,2023,5.0781249999999885,-0.002064919827923319,0.0,0.0,0.014135893038630176,TITAN,RETAILING
ITC,439.75,2023-10-03 05:30:00,442.9,439.25,441.0,7481883,2023,7.630385487528339,-0.025810119386014834,0.0,0.0,0.011943702458319614,ITC,FOOD & TOBACCO
TCS,3513.85,2023-10-03 05:30:00,3534.2,3480.1,3534.2,1948148,2023,20.1007300096203,-0.041293737638203085,0.0,0.0,0.013161771587106071,TCS,SOFTWARE
LT,3073.25,2023-10-03 05:30:00,3077.45,2995.1,3040.5,3254492,2023,18.516691333662227,-0.04692101195802483,0.0,0.0,0.01696390415004649,L&T,ENGINEERING
TATACONSUM,861.2,2023-10-03 05:30:00,868.75,853.49,859.32,1168848,2023,9.993948703626122,0.03279145378541571,0.0,0.0,0.0148047736681353,,
RELIANCE,1159.08,2023-10-03 05:30:00,1167.8,1158.0,1164.97,8859056,2023,8.6208228538074,-0.013053456189391485,0.0,0.0,0.013562067130073357,RELIANCE IND.,ENERGY
HCLTECH,1238.7,2023-10-03 05:30:00,1256.7,1222.7,1232.5,2162636,2023,54.02839756592292,0.030112214418341773,0.0,0.0,0.014294650681131723,HCL TECHNOLOGIES,SOFTWARE
JSWSTEEL,770.25,2023-10-03 05:30:00,776.55,768.0,776.55,1099773,2023,25.857961496362126,-0.0440116845180136,0.0,0.0,0.016383932356722215,JSW STEEL,STEEL
ULTRACEMCO,8304.9,2023-10-03 05:30:00,8377.0,8221.2,8289.0,454402,2023,37.233683194595244,0.014130212284314124,0.0,0.0,0.01431459670688822,ULTRATECH CEMENT,CEMENT
POWERGRID,199.55,2023-10-03 05:30:00,200.0,196.9,198.75,10830728,2023,69.53459119496854,0.013029315960912023,0.0,0.0,0.018671442296664318,POWER GRID,POWER
