Ticker,month,open,close,monthly_return
ADANIENT,2023-10,2418.0,2294.65,-0.03878940203162631
ADANIENT,2023-11,2299.0,2358.55,0.06370360348171199
ADANIENT,2023-12,2370.0,2848.95,0.20580268337071997
ADANIENT,2024-01,2852.3,3142.0,0.0770601947072536
ADANIENT,2024-02,3156.9,3285.4,0.04182654193752976
ADANIENT,2024-03,3309.85,3197.1,-0.036655367231638446
ADANIENT,2024-04,3230.2,3054.7,-0.060699240490759844
ADANIENT,2024-05,3071.95,3411.35,0.12230227661534412
ADANIENT,2024-06,3725.0,3177.15,-0.12841368904739042
ADANIENT,2024-07,3179.95,3169.4,-0.004522897166907497
ADANIENT,2024-08,3180.0,3019.35,-0.061512161007071284
ADANIENT,2024-09,3021.1,3135.85,0.03080058511250261
ADANIENT,2024-10,3136.3,2947.25,-0.07496625969053072
ADANIENT,2024-11,2960.0,2228.0,-0.24461773181895236
ADANIPORTS,2023-10,826.0,784.75,-0.05611017560740916
ADANIPORTS,2023-11,784.75,825.5,0.07333246651930825
ADANIPORTS,2023-12,839.2,1024.35,0.2374365788837883
ADANIPORTS,2024-01,1026.55,1207.65,0.15250274371331793
ADANIPORTS,2024-02,1213.6,1320.5,0.0833982852689011
ADANIPORTS,2024-03,1335.0,1341.85,0.01493835564632025
ADANIPORTS,2024-04,1356.8,1324.9,-0.03706664728541318
ADANIPORTS,2024-05,1333.95,1437.4,0.07364804302360334
ADANIPORTS,2024-06,1549.0,1478.1,-0.06682660437513818
ADANIPORTS,2024-07,1483.0,1569.9,0.06469989827060027
ADANIPORTS,2024-08,1580.95,1481.9,-0.06807533880451529
ADANIPORTS,2024-09,1490.0,1448.2,-0.030980260956841723
ADANIPORTS,2024-10,1448.2,1375.95,-0.06238500851788753
ADANIPORTS,2024-11,1386.5,1136.75,-0.18477481353987382
APOLLOHOSP,2023-10,5138.95,4819.9,-0.05842018382676138
APOLLOHOSP,2023-11,4835.0,5528.95,0.15269308148565106
APOLLOHOSP,2023-12,5550.0,5704.1,0.02020156855029837
APOLLOHOSP,2024-01,5741.0,6352.95,0.10485126216293765
APOLLOHOSP,2024-02,6289.65,6101.6,-0.029636049904976893
APOLLOHOSP,2024-03,6102.0,6356.8,0.044598547342820614
APOLLOHOSP,2024-04,6401.0,5947.1,-0.07900422006272015
APOLLOHOSP,2024-05,5947.1,5839.2,-0.020030040865646904
